time_stamp_millis,heart_rate,confidence,oxygen,status,temperature,RawIR,RawRed
15306,0,0,0,0,30.1,0,0
15326,0,0,0,0,30.1,0,0
15346,0,0,0,0,30.1,0,0
15366,0,0,0,0,30.1,0,0
15386,0,0,0,0,30.1,0,0
15406,0,0,0,0,30.1,0,0
15426,0,0,0,0,30.1,0,0
15446,0,0,0,0,30.1,0,0
15466,0,0,0,0,30.1,0,0
15486,0,0,0,0,30.1,0,0
15506,0,0,0,0,30.1,0,0
15526,0,0,0,0,30.1,0,0
15546,0,0,0,0,30.1,0,0
15566,0,0,0,0,30.1,0,0
15586,0,0,0,0,30.1,0,0
15606,0,0,0,0,30.1,0,0
15626,0,0,0,0,30.1,0,0
15646,0,0,0,0,30.1,0,0
15666,0,0,0,0,30.1,0,0
15686,0,0,0,0,30.1,0,0
15706,0,0,0,0,30.1,0,0
15726,0,0,0,0,30.1,0,0
15746,0,0,0,0,30.1,0,0
15766,0,0,0,0,30.1,0,0
15786,0,0,0,0,30.1,0,0
15806,0,0,0,0,30.1,0,0
15826,0,0,0,0,30.1,0,0
15846,0,0,0,0,30.1,0,0
15866,0,0,0,0,30.1,0,0
15886,0,0,0,0,30.1,0,0
15906,0,0,0,0,30.1,0,0
15926,0,0,0,0,30.1,0,0
15946,0,0,0,0,30.1,0,0
15966,0,0,0,0,30.1,0,0
15986,0,0,0,0,30.1,0,0
16006,0,0,0,0,30.1,0,0
16026,0,0,0,0,30.1,0,0
16046,0,0,0,0,30.1,0,0
16066,0,0,0,0,30.1,0,0
16086,0,0,0,0,30.1,0,0
16106,0,0,0,0,30.1,0,0
16126,0,0,0,0,30.1,0,0
16146,0,0,0,0,30.1,0,0
16166,0,0,0,0,30.1,0,0
16186,0,0,0,0,30.1,0,0
16211,0,0,0,0,30.1,0,0
16231,0,0,0,0,30.1,0,0
16251,0,0,0,0,30.1,0,0
16271,0,0,0,0,30.1,0,0
16291,0,0,0,0,30.1,0,0
16311,0,0,0,0,30.1,0,0
16331,0,0,0,0,30.1,0,0
16351,0,0,0,0,30.1,0,0
16371,0,0,0,0,30.1,0,0
16391,0,0,0,0,30.1,0,0
16411,0,0,0,0,30.1,0,0
16431,0,0,0,0,30.1,0,0
16451,0,0,0,0,30.1,0,0
16471,0,0,0,0,30.1,0,0
16491,0,0,0,0,30.1,0,0
16511,0,0,0,0,30.1,0,0
16531,0,0,0,0,30.1,0,0
16551,0,0,0,0,30.1,0,0
16571,0,0,0,0,30.1,0,0
16591,0,0,0,0,31.1,0,0
16616,0,0,0,0,30.1,0,0
16636,0,0,0,0,30.1,0,0
16656,0,0,0,0,30.1,0,0
16676,0,0,0,0,30.1,0,0
16696,0,0,0,0,30.1,0,0
16716,0,0,0,0,30.1,0,0
16736,0,0,0,0,30.1,0,0
16756,0,0,0,0,30.1,0,0
16776,0,0,0,0,30.1,0,0
16796,0,0,0,0,30.1,0,0
16816,0,0,0,0,30.1,0,0
16836,0,0,0,0,30.1,0,0
16856,0,0,0,0,30.1,0,0
16876,0,0,0,0,30.1,0,0
16896,0,0,0,0,30.1,0,0
16916,0,0,0,0,30.1,0,0
16936,0,0,0,0,30.1,0,0
16956,0,0,0,0,30.1,0,0
16976,0,0,0,0,30.1,0,0
16996,0,0,0,0,30.1,0,0
17016,0,0,0,0,30.1,0,0
17036,0,0,0,0,30.1,0,0
17056,0,0,0,0,30.1,0,0
17076,0,0,0,0,30.1,0,0
17096,0,0,0,0,30.1,0,0
17116,0,0,0,0,30.1,0,0
17136,0,0,0,0,30.1,0,0
17156,0,0,0,0,30.1,0,0
17176,0,0,0,0,30.1,0,0
17196,0,0,0,0,30.1,0,0
17216,0,0,0,0,30.1,0,0
17236,0,0,0,0,30.1,0,0
17256,0,0,0,0,30.1,0,0
17276,0,0,0,0,30.1,0,0
17296,0,0,0,0,30.1,0,0
17316,0,0,0,0,30.1,0,0
17336,0,0,0,0,30.1,0,0
17356,0,0,0,0,30.1,0,0
17376,0,0,0,0,30.1,0,0
17396,0,0,0,0,30.1,0,0
17416,0,0,0,0,30.1,0,0
17436,0,0,0,0,30.1,0,0
17456,0,0,0,0,30.1,0,0
17476,0,0,0,0,30.1,0,0
17496,0,0,0,0,30.1,0,0
