heart_rate,confidence,oxygen,status,temperature,RawIR,RawRed,,
0,0,0,0,28.1,0,0,,bp: 104/63
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,0,28.1,0,0,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,28.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,0,29.1,0,0,,
0,0,0,0,29.1,0,0,,
0,0,0,0,29.1,0,0,,
0,0,0,0,29.1,0,0,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,1,29.1,0,1,,
0,0,0,3,29.1,0,3,,
0,0,0,3,29.1,0,3,,
0,0,0,3,29.1,0,3,,
0,0,0,3,29.1,0,3,,
0,0,0,3,29.1,0,3,,
0,0,0,3,29.1,0,3,,
83,50,0,3,29.1,212530,3,,
83,50,0,3,29.1,212530,3,,
83,50,0,3,29.1,212530,3,,
